source_build,target_build,opcode,direction,seen,n,ok_exact,under_read,over_read,threw,consumed_p50,consumed_p90,home_n,home_over_read,home_p50,over_sigs,home_over_sigs,ks_vs_home,script_sha,env_sha,quality,state,reason,invariants,rule_version,sampling
2512,12,0x004C,IN,9741,1500,0,1264,236,0,28,100,1500,0,100,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [RegionObjectId:Int32]:236,-,0.843,7d49d25ebf47,6cdba8ccbaff,STUB,reject,over_read=236; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2503,12,0x004D,IN,38981,1500,0,1500,0,0,2,20,142,0,100,-,-,1.000,30b8107d2341,e531069fb1f2,STUB,reject,consumed KS=1.000 > 0.2 vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2504,12,0x004D,IN,38981,1500,0,0,1500,0,8,60,52,0,79,NegativeLength: ReadBytes: negative length -# at offset #/# @  [?:Field]:933|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [?:Field]:567,-,0.962,44ca22248479,e531069fb1f2,STUB,reject,over_read=1500; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x004D,IN,38981,1500,0,1500,0,0,2,20,153,0,100,-,-,0.993,1cfbcc64be9a,e531069fb1f2,STUB,reject,consumed KS=0.993 > 0.2 vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2546,12,0x004D,IN,38981,1500,0,1500,0,0,2,20,1154,1,100,-,NegativeLength: ReadBytes: negative length -# at offset #/# @  [coord:Field]:1,0.832,1cfbcc64be9a,750b3e3c91cc,STUB,reject,home decoder over-reads (1/1154),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2549,12,0x004D,IN,38981,1500,0,1500,0,0,2,20,29,2,100,-,NegativeLength: ReadBytes: negative length -# at offset #/# @  [coord:Field]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [coord:Field]:1,0.931,1cfbcc64be9a,750b3e3c91cc,STUB,reject,home decoder over-reads (2/29),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2550,12,0x004D,IN,38981,1500,0,1500,0,0,2,20,5,0,100,-,-,1.000,1cfbcc64be9a,750b3e3c91cc,STUB,reject,consumed KS=1.000 > 0.2 vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x004F,IN,65569,1500,0,6,1494,0,100,100,15,0,100,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [size:Int16]:1049|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [unk:Byte]:181|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [unk:Int32]:97|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [count:Int32]:82|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [entity id:Field]:55|NegativeLength: ReadBytes: negative length -# at offset #/# @  [entity id:Field]:19|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [flag:Byte]:11,-,0.139,d6a98740c336,e531069fb1f2,USEFUL,reject,over_read=1494; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2537,12,0x0051,IN,12,12,1,3,8,0,64,100,-,-,-,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ResetTime:Int64]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [field_#C:Int32]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ItemId:Int32]:1,-,-,f3a5e9149f72,750b3e3c91cc,PARTIAL,reject,over_read=8; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2546,12,0x0051,IN,12,12,1,3,8,0,64,100,338,0,100,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ResetTime:Int64]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [field_#C:Int32]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ItemId:Int32]:1,-,0.819,f3a5e9149f72,750b3e3c91cc,PARTIAL,reject,over_read=8; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
